CONCRETE CONSTRUCTION COST PROJECTION,,
Project Name:,,
Unit Count:,,
Total SF:,,
,,
LAND & ACQUISITION,,
Land Purchase,,$0
Closing Costs,,$0
Land Subtotal,,$0
,,
SITE WORK,,
Demolition/Clearing,,$0
Grading/Excavation,,$0
Utilities (water/sewer/electric),,$0
Paving/Parking,,$0
Landscaping,,$0
Site Work Subtotal,,$0
,,
CONCRETE STRUCTURE,,
Foundations,,$0
Slab on Grade,,$0
Tilt-Up/Precast Panels,,$0
Panel Forming/Labor,,$0
Panel Finishing (texture/board-form),,$0
Crane/Forklift Rental,,$0
Rebar/Reinforcing,,$0
Concrete (yards x price),,$0
Connections/Hardware,,$0
Concrete Subtotal,,$0
,,
FRAMING & ROOF,,
Interior Framing (wood/steel),,$0
Roof Structure,,$0
Roof Finish/Membrane,,$0
Framing Subtotal,,$0
,,
EXTERIOR,,
Windows,,$0
Doors (exterior),,$0
Stucco/Finish,,$0
Exterior Subtotal,,$0
,,
MEP (Mechanical/Electrical/Plumbing),,
Electrical Rough,,$0
Electrical Finish/Fixtures,,$0
Plumbing Rough,,$0
Plumbing Fixtures,,$0
HVAC,,$0
MEP Subtotal,,$0
,,
INTERIOR FINISHES,,
Drywall,,$0
Paint,,$0
Flooring,,$0
Cabinets,,$0
Countertops,,$0
Interior Doors/Trim,,$0
Appliances,,$0
Interior Subtotal,,$0
,,
SOFT COSTS,,
Architecture/Design,,$0
Engineering (structural/civil),,$0
Permits/Fees,,$0
Insurance (builder's risk),,$0
Legal,,$0
Soft Costs Subtotal,,$0
,,
FINANCING & HOLDING,,
Construction Loan Interest,,$0
Property Taxes,,$0
Financing Subtotal,,$0
,,
CONTINGENCY (10%),,$0
,,
TOTAL PROJECT COST,,$0
,,
REVENUE & PROFIT,,
Sale Price (or Rent x Cap Rate),,$0
Minus Total Cost,,$0
NET PROFIT,,$0
Profit Margin (%),,$0
Cost Per SF,,$0
